Producto,Precio (ARS),Cantidad Vendida por Mes,Precio Ajustado por Inflación
Medialunas Artesanales x Docena,5990,275,7188.0
Pan Baguette x Unidad,850,501,1020.0
Pan Caserito x Kg,3290,915,3948.0
Pan negrito x Kg,3590,204,4308.0
Pan de papa p/hamburguesa x 4 Unidades,2790,323,3348.0
Roll de Canela x Unidad,850,117,1020.0
Cookies x 3unidades,2750,380,3300.0
Palmeritas artesanales x 100 gr,1650,868,1980.0
Alfajores artesanales de Maicena x 100 gr,1100,680,1320.0
Tarta de ricota x Unidad,9790,913,11748.0
Pasta frola dulce de membrillo x Unidad,8590,80,10308.0
Pasta frola dulce de batata x Unidad,8590,696,10308.0
Goulash congelado 500grs,4990,809,5988.0
Guiso de Lentejas congelado 500grs,4990,707,5988.0
Tarta UNISOL jamon y queso unidad,5990,966,7188.0
Tarta UNISOL humita unidad,5990,363,7188.0
Empanadas UNISOL congeladas Jam/Ques x 6 unidades,6900,840,8280.0
Empanadas UNISOL congeladas Estofado Carne x 6 unidades,6900,114,8280.0
Empanadas UNISOL congeladas Estofado Picante x 6 unidades,6900,524,8280.0
Empanadas UNISOL congeladas Queso/Ceb x 6 unidades,6900,236,8280.0
Empanadas UNISOL congeladas Caprese x 6 unidades,6900,371,8280.0
Empanadas UNISOL congelada Cebolla Malbec x 6 unidades,6900,84,8280.0
Empanadas UNISOL congelada Humita x 6 unidades,6900,894,8280.0
Empanadas UNISOL congeladas Carne x 6 unidades,6900,549,8280.0
Empanadas UNISOL congeladas Verdura x 6 unidades,6900,742,8280.0
Empanadas UNISOL congeladas Jam/Roq x 6 unidades,6900,83,8280.0
Empanadas UNISOL congeladas pollo x 6 unidades,6900,829,8280.0
Empanadas UNISOL congeladas Osobuco x 6 unidades,6900,193,8280.0
Empanadas UNISOL congeladas Panc/Cirue x 6 unidades,6900,884,8280.0
Empanadas UNISOL congeladas Bondiola BBQ x 6 unidades,6900,767,8280.0
